id,timestamp,sensor,value,z_score
1,2025-07-02 17:38:49.908633+02:00,flow_rate,162.6,2.95
2,2025-07-02 17:38:49.942960+02:00,vibration,5.57,1.28
3,2025-07-02 17:38:49.942960+02:00,humidity,40.5,-2.37
4,2025-07-02 17:39:07.590919+02:00,flow_rate,198.8,2.79
5,2025-07-02 17:39:07.598187+02:00,vibration,5.02,-0.85
6,2025-07-02 17:39:07.598187+02:00,humidity,42.0,-1.45
7,2025-07-02 17:39:22.565242+02:00,pressure,101.3,-2.1
8,2025-07-02 17:39:22.600946+02:00,flow_rate,199.3,1.84
9,2025-07-02 17:39:22.600946+02:00,vibration,4.46,-2.32
10,2025-07-02 17:39:22.600946+02:00,humidity,42.3,-1.11
11,2025-07-02 17:39:37.609486+02:00,pressure,101.7,-1.65
12,2025-07-02 17:39:37.645348+02:00,flow_rate,213.4,1.64
13,2025-07-02 17:39:37.645348+02:00,vibration,4.4,-2.05
14,2025-07-02 17:39:52.513579+02:00,pressure,92.2,-1.97
15,2025-07-02 17:39:52.547922+02:00,temperature,59.4,1.22
16,2025-07-02 17:39:52.547922+02:00,flow_rate,252.4,1.88
17,2025-07-02 17:39:52.547922+02:00,vibration,4.6,-1.24
18,2025-07-02 17:40:07.695909+02:00,temperature,59.4,1.1
19,2025-07-02 17:40:07.730418+02:00,flow_rate,224.0,1.11
20,2025-07-02 17:40:22.372852+02:00,temperature,59.5,1.0
21,2025-07-02 17:40:22.406825+02:00,flow_rate,247.3,1.28
22,2025-07-02 17:40:22.406825+02:00,vibration,5.34,0.97
23,2025-07-02 17:40:38.172552+02:00,pressure,135.8,2.2
24,2025-07-02 17:40:38.205531+02:00,flow_rate,276.3,1.51
25,2025-07-02 17:40:38.206545+02:00,vibration,5.32,0.82
26,2025-07-02 17:40:53.240856+02:00,pressure,129.9,1.5
27,2025-07-02 17:40:53.276385+02:00,vibration,5.61,1.34
28,2025-07-02 17:40:53.276385+02:00,humidity,47.4,1.19
29,2025-07-02 17:41:08.374336+02:00,pressure,150.6,2.41
30,2025-07-02 17:41:08.376296+02:00,flow_rate,268.7,1.21
31,2025-07-02 17:41:08.376296+02:00,vibration,5.68,1.18
32,2025-07-02 17:41:08.377133+02:00,humidity,47.3,1.18
33,2025-07-02 17:41:22.975944+02:00,pressure,150.6,1.73
34,2025-07-02 17:41:22.976953+02:00,temperature,59.9,1.53
35,2025-07-02 17:41:22.976953+02:00,flow_rate,295.2,1.69
36,2025-07-02 17:41:22.976953+02:00,vibration,6.41,2.09
37,2025-07-02 17:41:38.376552+02:00,temperature,59.9,1.18
38,2025-07-02 17:41:38.409760+02:00,flow_rate,293.4,1.53
39,2025-07-02 17:41:38.409760+02:00,vibration,6.83,1.97
40,2025-07-02 17:41:54.418176+02:00,pressure,161.2,1.56
41,2025-07-02 17:41:54.420179+02:00,temperature,60.0,1.1
42,2025-07-02 17:41:54.420179+02:00,flow_rate,313.6,1.84
43,2025-07-02 17:41:54.421192+02:00,vibration,6.98,1.71
44,2025-07-02 17:42:09.439763+02:00,flow_rate,303.5,1.28
45,2025-07-02 17:42:09.441768+02:00,vibration,7.0,1.39
46,2025-07-02 17:42:24.645973+02:00,flow_rate,302.7,1.09
47,2025-07-02 17:42:24.680511+02:00,vibration,6.61,0.73
48,2025-07-02 17:42:24.680511+02:00,humidity,44.7,-1.57
49,2025-07-02 17:42:39.228332+02:00,temperature,58.6,-1.9
50,2025-07-02 17:42:39.259432+02:00,flow_rate,316.6,1.46
51,2025-07-02 17:42:54.375192+02:00,temperature,58.3,-1.83
52,2025-07-02 17:42:54.377200+02:00,flow_rate,320.8,1.43
53,2025-07-02 17:42:54.377200+02:00,vibration,6.84,0.97
54,2025-07-02 17:42:54.377200+02:00,humidity,43.6,-2.22
55,2025-07-02 17:43:09.111633+02:00,temperature,57.7,-2.07
56,2025-07-02 17:43:09.146798+02:00,flow_rate,330.3,1.42
57,2025-07-02 17:43:09.146798+02:00,humidity,41.9,-2.41
58,2025-07-02 17:43:24.068889+02:00,pressure,172.5,2.32
59,2025-07-02 17:43:24.094653+02:00,flow_rate,360.8,2.22
60,2025-07-02 17:43:24.094653+02:00,vibration,5.81,-1.62
61,2025-07-02 17:43:39.015752+02:00,pressure,195.0,3.46
62,2025-07-02 17:43:39.051738+02:00,flow_rate,375.5,2.16
63,2025-07-02 17:43:39.051738+02:00,vibration,5.73,-1.81
64,2025-07-02 17:43:39.051738+02:00,humidity,42.7,-1.48
65,2025-07-02 17:43:54.209556+02:00,pressure,195.3,2.49
66,2025-07-02 17:43:54.231000+02:00,vibration,5.6,-1.77
67,2025-07-02 17:43:54.231000+02:00,humidity,42.0,-1.6
68,2025-07-02 17:44:09.421818+02:00,pressure,204.5,2.18
69,2025-07-02 17:44:09.422835+02:00,temperature,60.4,1.88
70,2025-07-02 17:44:09.422835+02:00,vibration,5.28,-1.82
71,2025-07-02 17:44:09.422835+02:00,humidity,42.2,-1.14
72,2025-07-02 17:44:23.901919+02:00,temperature,61.1,2.26
