day,Status Change,count
2025-07-12,Turned OFF,5
2025-07-12,Turned ON,5
2025-07-13,Turned OFF,3
2025-07-13,Turned ON,3
2025-07-14,Turned OFF,4
2025-07-14,Turned ON,4
2025-07-15,Turned OFF,2
2025-07-15,Turned ON,2
2025-07-16,Turned OFF,1
2025-07-16,Turned ON,1
2025-07-17,Turned OFF,2
2025-07-17,Turned ON,2
2025-07-18,Turned OFF,2
2025-07-18,Turned ON,2
2025-07-19,Turned OFF,3
2025-07-19,Turned ON,3
2025-07-20,Turned OFF,1
2025-07-20,Turned ON,1
2025-07-21,Turned OFF,3
2025-07-21,Turned ON,3
2025-07-22,Turned OFF,3
2025-07-22,Turned ON,3
2025-08-17,Turned OFF,1
2025-08-18,Turned ON,1
2025-08-20,Turned OFF,3
2025-08-20,Turned ON,3
2025-08-21,Turned OFF,3
2025-08-21,Turned ON,2
2025-09-06,Turned OFF,4
2025-09-06,Turned ON,5
2025-09-07,Turned OFF,49
2025-09-07,Turned ON,48
2025-09-08,Turned OFF,50
2025-09-08,Turned ON,50
2025-09-09,Turned OFF,48
2025-09-09,Turned ON,48
2025-09-10,Turned OFF,52
2025-09-10,Turned ON,52
2025-09-11,Turned OFF,61
2025-09-11,Turned ON,61
2025-09-12,Turned OFF,51
2025-09-12,Turned ON,51
2025-09-13,Turned OFF,146
2025-09-13,Turned ON,147
2025-09-25,Turned OFF,613
2025-09-25,Turned ON,613
2025-09-26,Turned OFF,1937
2025-09-26,Turned ON,1937
2025-10-01,Turned OFF,1
2025-10-01,Turned ON,1
2025-10-05,Turned OFF,3
2025-10-05,Turned ON,3
2025-10-06,Turned OFF,3
2025-10-06,Turned ON,3
