day,temperature
2025-07-12,90.5
2025-07-13,60.8
2025-07-14,65.7
2025-07-15,61.2
2025-07-16,58.7
2025-07-17,60.2
2025-07-18,60.3
2025-07-19,65.0
2025-07-20,59.0
2025-07-21,59.4
2025-07-22,58.3
2025-07-30,58.8
2025-07-31,57.9
2025-08-03,58.2
2025-08-14,58.1
2025-08-15,58.5
2025-08-17,65.7
2025-08-18,65.8
2025-08-19,62.7
2025-08-20,65.7
2025-08-21,58.5
2025-08-22,54.9
2025-09-06,40.8
2025-09-07,54.9
2025-09-08,54.9
2025-09-09,54.8
2025-09-10,55.0
2025-09-11,77.0
2025-09-12,58.8
2025-09-13,63.2
2025-09-14,63.6
2025-09-15,50.0
2025-09-25,66.7
2025-09-26,70.1
2025-09-29,50.0
2025-09-30,60.2
2025-10-01,71.0
2025-10-05,61.0
2025-10-06,81.9
