path,last_modified
.idea\modules.xml,2025-06-30 18:06:30
.idea\vcs.xml,2025-06-30 18:06:30
.idea\inspectionProfiles\profiles_settings.xml,2025-06-30 18:06:30
.idea\inspectionProfiles\Project_Default.xml,2025-06-30 18:06:30
data\iot_data.db,2025-07-04 23:34:34
.idea\dataSources.local.xml,2025-07-07 16:15:59
.idea\dataSources.xml,2025-07-07 16:15:59
core\analyze_data.py,2025-07-15 19:08:49
.idea\sqldialects.xml,2025-07-19 10:48:06
dashboard.py,2025-07-19 19:08:05
debug_tools\check_hour_distribution.py,2025-07-20 00:48:13
debug_tools\manual_insert_test.py,2025-07-20 00:54:50
debug_tools\preview_processed_logs.py,2025-07-20 00:59:33
debug_tools\preview_sensor_logs.py,2025-07-20 01:00:50
debug_tools\preview_tables.py,2025-07-20 01:02:47
core\setup_database.py,2025-07-20 01:06:35
tests\test_dbs.py,2025-07-20 01:12:14
debug_tools\preview_anomalies.py,2025-07-20 01:12:42
tests\test_temp_export.py,2025-07-20 01:13:32
tests\test_humidity_export.py,2025-07-20 01:14:47
tests\test_anomaly_pipeline.py,2025-07-20 01:16:28
tests\check_temperature_distribution.py,2025-07-20 01:18:37
tests\check_processed_log_timestamps.py,2025-07-20 01:19:53
tests\check_csv_export.py,2025-07-20 01:23:07
tests\check_processed_log.py,2025-07-20 01:24:23
scripts\run_full_pipeline.py,2025-07-20 01:26:59
scripts\run_export_wrapper.py,2025-07-20 01:28:38
scripts\run_export_loop.py,2025-07-20 01:29:34
debug_tools\debug_summary_groups.py,2025-07-20 01:33:40
debug_tools\debug_processed_log.py,2025-07-20 01:34:17
README.md,2025-07-20 01:55:06
requirements.txt,2025-07-21 04:25:51
.idea\misc.xml,2025-07-21 05:12:05
.idea\SAFE_IoT_Monitoring2.iml,2025-07-21 05:12:05
core\migrate_csv_to_sqlite.py,2025-07-21 22:21:34
core\processed_table.py,2025-07-21 22:21:34
core\transform_logs.py,2025-07-22 03:18:38
.gitignore,2025-07-31 13:29:02
core\simulate_sensors.py,2025-08-21 09:19:45
exports\avg_flow_rate_by_hour.csv,2025-08-21 12:43:28
exports\avg_humidity_by_day.csv,2025-08-21 12:43:28
exports\avg_pressure_by_hour.csv,2025-08-21 12:43:28
exports\avg_pressure_by_minute.csv,2025-08-21 12:43:28
exports\avg_temperature_by_hour.csv,2025-08-21 12:43:28
exports\avg_vibration_by_weekday.csv,2025-08-21 12:43:28
exports\compressor_status_by_day.csv,2025-08-21 12:43:28
exports\compressor_transitions_by_day.csv,2025-08-21 12:43:28
exports\max_temperature_by_day.csv,2025-08-21 12:43:28
exports\anomalies.csv,2025-08-22 13:59:40
core\config.py,2025-09-08 11:31:33
core\__init__.py,2025-09-08 12:07:47
scripts\run_analyzer_loop.py,2025-09-08 12:09:03
data\anomalies.csv,2025-09-11 09:08:57
core\log_anomalies.py,2025-09-11 09:10:17
core\detect_anomalies.py,2025-09-11 09:19:14
data\exports\anomalies.csv,2025-09-11 09:43:22
data\exports\avg_flow_rate_by_hour.csv,2025-09-11 09:43:22
data\exports\avg_humidity_by_day.csv,2025-09-11 09:43:22
data\exports\avg_pressure_by_hour.csv,2025-09-11 09:43:22
data\exports\avg_pressure_by_minute.csv,2025-09-11 09:43:22
data\exports\avg_temperature_by_hour.csv,2025-09-11 09:43:22
data\exports\avg_vibration_by_weekday.csv,2025-09-11 09:43:22
data\exports\compressor_status_by_day.csv,2025-09-11 09:43:22
data\exports\compressor_transitions_by_day.csv,2025-09-11 09:43:22
data\exports\max_temperature_by_day.csv,2025-09-11 09:43:22
charts\avg_vibration_by_weekday.png,2025-09-11 16:11:30
charts\avg_flow_rate_by_hour.png,2025-09-11 16:11:31
charts\avg_humidity_by_day.png,2025-09-11 16:11:31
charts\compressor_status_by_day.png,2025-09-11 16:11:31
data\sensor_data.db,2025-09-11 16:12:21
data\sensor_log.csv,2025-09-11 16:12:21
charts\avg_pressure_by_hour.png,2025-09-11 16:12:25
charts\avg_pressure_by_minute.png,2025-09-11 16:12:25
charts\max_temp_by_day.png,2025-09-11 16:12:25
scripts\export_summary_csvs.py,2025-09-11 17:04:27
docs\THESIS_LOG.md,2025-09-12 18:51:57
docs\THESIS_OUTLINE.md,2025-09-12 18:52:10
.idea\workspace.xml,2025-09-12 19:08:02
tools\dump_file_timeline.py,2025-09-12 19:08:19
