id,timestamp,sensor,value,z_score
1,2025-07-02 17:38:49.908633+00:00,flow_rate,162.6,2.95
2,2025-07-02 17:38:49.942960+00:00,vibration,5.57,1.28
3,2025-07-02 17:38:49.942960+00:00,humidity,40.5,-2.37
4,2025-07-02 17:39:07.590919+00:00,flow_rate,198.8,2.79
5,2025-07-02 17:39:07.598187+00:00,vibration,5.02,-0.85
6,2025-07-02 17:39:07.598187+00:00,humidity,42.0,-1.45
7,2025-07-02 17:39:22.565242+00:00,pressure,101.3,-2.1
8,2025-07-02 17:39:22.600946+00:00,flow_rate,199.3,1.84
9,2025-07-02 17:39:22.600946+00:00,vibration,4.46,-2.32
10,2025-07-02 17:39:22.600946+00:00,humidity,42.3,-1.11
11,2025-07-02 17:39:37.609486+00:00,pressure,101.7,-1.65
12,2025-07-02 17:39:37.645348+00:00,flow_rate,213.4,1.64
13,2025-07-02 17:39:37.645348+00:00,vibration,4.4,-2.05
14,2025-07-02 17:39:52.513579+00:00,pressure,92.2,-1.97
15,2025-07-02 17:39:52.547922+00:00,temperature,59.4,1.22
16,2025-07-02 17:39:52.547922+00:00,flow_rate,252.4,1.88
17,2025-07-02 17:39:52.547922+00:00,vibration,4.6,-1.24
18,2025-07-02 17:40:07.695909+00:00,temperature,59.4,1.1
19,2025-07-02 17:40:07.730418+00:00,flow_rate,224.0,1.11
20,2025-07-02 17:40:22.372852+00:00,temperature,59.5,1.0
21,2025-07-02 17:40:22.406825+00:00,flow_rate,247.3,1.28
22,2025-07-02 17:40:22.406825+00:00,vibration,5.34,0.97
23,2025-07-02 17:40:38.172552+00:00,pressure,135.8,2.2
24,2025-07-02 17:40:38.205531+00:00,flow_rate,276.3,1.51
25,2025-07-02 17:40:38.206545+00:00,vibration,5.32,0.82
26,2025-07-02 17:40:53.240856+00:00,pressure,129.9,1.5
27,2025-07-02 17:40:53.276385+00:00,vibration,5.61,1.34
28,2025-07-02 17:40:53.276385+00:00,humidity,47.4,1.19
29,2025-07-02 17:41:08.374336+00:00,pressure,150.6,2.41
30,2025-07-02 17:41:08.376296+00:00,flow_rate,268.7,1.21
31,2025-07-02 17:41:08.376296+00:00,vibration,5.68,1.18
32,2025-07-02 17:41:08.377133+00:00,humidity,47.3,1.18
33,2025-07-02 17:41:22.975944+00:00,pressure,150.6,1.73
34,2025-07-02 17:41:22.976953+00:00,temperature,59.9,1.53
35,2025-07-02 17:41:22.976953+00:00,flow_rate,295.2,1.69
36,2025-07-02 17:41:22.976953+00:00,vibration,6.41,2.09
37,2025-07-02 17:41:38.376552+00:00,temperature,59.9,1.18
38,2025-07-02 17:41:38.409760+00:00,flow_rate,293.4,1.53
39,2025-07-02 17:41:38.409760+00:00,vibration,6.83,1.97
40,2025-07-02 17:41:54.418176+00:00,pressure,161.2,1.56
41,2025-07-02 17:41:54.420179+00:00,temperature,60.0,1.1
42,2025-07-02 17:41:54.420179+00:00,flow_rate,313.6,1.84
43,2025-07-02 17:41:54.421192+00:00,vibration,6.98,1.71
44,2025-07-02 17:42:09.439763+00:00,flow_rate,303.5,1.28
